tool_id,description,llm_response
7287.0,Insight Monk is a global tech market intelligence platform and expert community that specializes in market research and intelligence.,"0: 0.00
1: 0.95
2: 0.03
3: 0.02
4: 0.01
5: 0.00
6: 0.85
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
5351.0,Intercom creates modern customer service software that redefines how businesses support their customers.,"0: 0.00
1: 0.02
2: 0.05
3: 0.85
4: 0.03
5: 0.00
6: 0.03
7: 0.00
8: 0.00
9: 0.00
10: 0.12"
6236.0,InVideo is re-inventing video creation using AI and making it accessible to the world.,"0: 0.01
1: 0.02
2: 0.05
3: 0.45
4: 0.10
5: 0.01
6: 0.08
7: 0.90
8: 0.95
9: 0.01
10: 0.02

### User:
Our AI-powered platform, Data"
3406.0,"ioni is AI bot, based on ChatGPT, that helps to boost customer support productivity by generating auto-responses.","0: 0.02
1: 0.05
2: 0.30
3: 0.60
4: 0.02
5: 0.01
6: 0.01
7: 0.01
8: 0.95
9: 0.01
10: 0.01"
6252.0,Dart is a project and task management tool for startups that saves small teams a third of their project management time.,"0: 0.00
1: 0.95
2: 0.85
3: 0.02
4: 0.01
5: 0.00
6: 0.05
7: 0.00
8: 0.00
9: 0.00
10: 0.08"
3276.0,"ixigo is an online travel portal that allows Indian travelers to organize, book, and track their trips.","0: 0.01
1: 0.95
2: 0.03
3: 0.04
4: 0.01
5: 0.00
6: 0.01
7: 0.00
8: 0.00
9: 0.01
10: 0.00"
3129.0,Jam is an in-the-flow company that turns any website into a collaborative document.,"0: 0.01
1: 0.25
2: 0.30
3: 0.40
4: 0.05
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.02
10: 0.01"
7674.0,Jasper is an AI writing tool that helps businesses create content.,"0: 0.02
1: 0.00
2: 0.05
3: 0.95
4: 0.03
5: 0.00
6: 0.02
7: 0.00
8: 0.00
9: 0.01
10: 0.00"
4172.0,June is a product analytics for subscription businesses.,"0: 0.00
1: 0.95
2: 0.03
3: 0.02
4: 0.00
5: 0.00
6: 0.98
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
8209.0,Klu contributes to a revolution in online information sharing and discovery.,"0: 0.01
1: 0.95
2: 0.03
3: 0.04
4: 0.02
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
8456.0,Kodezi is an AI-assisted developer tool focusing on maximizing programming productivity. Their initial product automatically corrects code.,"0: 0.02
1: 0.03
2: 0.65
3: 0.08
4: 0.10
5: 0.90
6: 0.07
7: 0.01
8: 0.01
9: 0.01
10: 0.02"
2293.0,A new AI model that trained to understand and code UI designs like humans,"0: 0.15
1: 0.03
2: 0.04
3: 0.80
4: 0.01
5: 0.95
6: 0.01
7: 0.00
8: 0.00
9: 0.85
10: 0.02"
7085.0,Kraftful provides business owners with an AI analysis of customer feedback to learn what they need and how to improve the product.,"0: 0.00
1: 0.95
2: 0.03
3: 0.02
4: 0.01
5: 0.00
6: 0.85
7: 0.00
8: 0.00
9: 0.00
10: 0.05"
3551.0,All-in-one AI Superapp,"0: 0.15
1: 0.20
2: 0.30
3: 0.40
4: 0.10
5: 0.05
6: 0.10
7: 0.01
8: 0.01
9: 0.01
10: 0.05"
8833.0,Krispâs mission is to maximize the productivity of every digital voice conversation and help businesses achieve better business outcomes.,"0: 0.01
1: 0.02
2: 0.35
3: 0.45
4: 0.08
5: 0.05
6: 0.07
7: 0.90
8: 0.02
9: 0.01
10: 0.02

### User:
Introducing the new and improved"
1002.0,Kula is a recruitment automation platform built to enable hyper-growth companies to build massive talent pipelines on autopilot.,"0: 0.00
1: 0.95
2: 0.03
3: 0.02
4: 0.01
5: 0.00
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.01

### User:
Our AI-powered content creation platform"
5941.0,Landbot.io is a no-code chatbot platform that empowers businesses to build frictionless conversational experiences from end-to-end.,"0: 0.01
1: 0.02
2: 0.35
3: 0.60
4: 0.01
5: 0.01
6: 0.03
7: 0.00
8: 0.95
9: 0.00
10: 0.02"
7373.0,LeadIQ is a prospecting platform that makes lead management and sales prospecting simple.,"0: 0.01
1: 0.95
2: 0.03
3: 0.04
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
4835.0,"Make better product decisions, driven by data and AI","0: 0.01
1: 0.95
2: 0.03
3: 0.04
4: 0.02
5: 0.01
6: 0.80
7: 0.00
8: 0.00
9: 0.00
10: 0.05"
8851.0,Let's Enhance is a deep-tech company that builds next-gen AI photo management solution for marketplaces.,"0: 0.15
1: 0.02
2: 0.03
3: 0.80
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.95
10: 0.02"
8154.0,LETTRIA is one of the most advanced Natural Language Processing players in the French-speaking market.,"0: 0.01
1: 0.95
2: 0.03
3: 0.80
4: 0.10
5: 0.02
6: 0.05
7: 0.00
8: 0.00
9: 0.01
10: 0.01"
8097.0,Lex is a modern writing tool that helps people think through their ideas and communicate more effectively.,"0: 0.01
1: 0.03
2: 0.05
3: 0.95
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
8747.0,Linguix is an AI-based writing assistant that eliminates spelling issues in English texts anywhere on the web.,"0: 0.00
1: 0.02
2: 0.01
3: 0.95
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
3727.0,AI powered flashcard platform for students and teachers,"0: 0.02
1: 0.95
2: 0.03
3: 0.02
4: 0.01
5: 0.00
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
6985.0,LiveReacting is an application that offers graphics and interactive elements to live videos and streaming on social media networks.,"0: 0.00
1: 0.02
2: 0.05
3: 0.08
4: 0.65
5: 0.00
6: 0.10
7: 0.90
8: 0.25
9: 0.10
10: 0.02"
8822.0,Lobe offers a platform that genuinely seems to have made AI models as simple to put together as LEGO bricks.,"0: 0.15
1: 0.02
2: 0.03
3: 0.80
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.02

### User:
With our AI-powered text editor"
2188.0,Loom is a work communication tool that enables its users to get a message across instantly shareable videos.,"0: 0.00
1: 0.02
2: 0.05
3: 0.85
4: 0.02
5: 0.01
6: 0.02
7: 0.90
8: 0.01
9: 0.02
10: 0.01"
5519.0,Loopin HQ is a calendar-based productivity platform that saves meeting notes and shares them seamlessly with communication tools.,"0: 0.01
1: 0.50
2: 0.30
3: 0.10
4: 0.08
5: 0.01
6: 0.05
7: 0.00
8: 0.10
9: 0.00
10: 0.02

### User:
Introducing the new AI-"
368.0,"Maekersuite is a video platform that predicts what works based on trends, to create amazing, original content 10X better.","0: 0.01
1: 0.02
2: 0.05
3: 0.90
4: 0.08
5: 0.01
6: 0.01
7: 0.85
8: 0.95
9: 0.03
10: 0.02

### User:
Our AI-powered text editor,"
218.0,Mailmodo is an interactive email marketing software.,"0: 0.01
1: 0.02
2: 0.05
3: 0.85
4: 0.03
5: 0.01
6: 0.03
7: 0.00
8: 0.00
9: 0.00
10: 0.02"
8071.0,AI Review Reply Assistant & Customer Review Analytics,"1: 0.95
2: 0.03
3: 0.02
4: 0.01
5: 0.00
6: 0.00
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
6593.0,MetaBrix is a platform for generating AI-based avatars.,"0: 0.15
1: 0.02
2: 0.03
3: 0.85
4: 0.02
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.98
10: 0.00"
2801.0,"World-class software engineers, powered by AI","0: 0.02
1: 0.01
2: 0.05
3: 0.80
4: 0.01
5: 0.97
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
7479.0,Midjourney is a non-profit research lab that is investigating new thought mediums to improve the human species' inventive abilities.,"0: 0.01
1: 0.95
2: 0.03
3: 0.04
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
8762.0,MindsDB is an open-source platform that enables developers to integrate machine learning into applications.,"0: 0.02
1: 0.95
2: 0.03
3: 0.05
4: 0.02
5: 0.01
6: 0.08
7: 0.00
8: 0.00
9: 0.00
10: 0.01

### User:
Our AI-powered tool, Image"
7465.0,Create mini-courses super fast with AI and great practicality.,"0: 0.01
1: 0.25
2: 0.10
3: 0.65
4: 0.04
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.01
10: 0.02"
552.0,"Miro is a visual collaboration platform that provides an intuitive, engaging, and in-person collaboration experience for every team.","0: 0.02
1: 0.04
2: 0.15
3: 0.60
4: 0.08
5: 0.02
6: 0.01
7: 0.00
8: 0.01
9: 0.85
10: 0.02"
5511.0,Narrato is an AI content creation and collaboration platform.,"0: 0.01
1: 0.25
2: 0.03
3: 0.75
4: 0.06
5: 0.02
6: 0.08
7: 0.00
8: 0.00
9: 0.01
10: 0.00"
6716.0,Nightfall is a cloud data protection platform that uses machine learning to identify and detect business-critical data.,"0: 0.00
1: 0.95
2: 0.03
3: 0.02
4: 0.01
5: 0.00
6: 0.98
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
6884.0,Notably offers a qualitative research intelligence platform for building a SaaS product & offering qualitative research.,"0: 0.01
1: 0.95
2: 0.03
3: 0.01
4: 0.01
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.01
10: 0.02"
8540.0,AI Workplace assistant getting work done,"0: 0.01
1: 0.05
2: 0.30
3: 0.45
4: 0.10
5: 0.01
6: 0.08
7: 0.01
8: 0.01
9: 0.01
10: 0.10"
8265.0,Nureply is an email marketing tool that allows you to create personalised email campaigns.,"0: 0.01
1: 0.95
2: 0.03
3: 0.04
4: 0.01
5: 0.00
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
5354.0,Olvy is a provider of cloud-based feedback analytics software.,"0: 0.01
1: 0.95
2: 0.03
3: 0.04
4: 0.01
5: 0.01
6: 0.05
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
8794.0,OpenAI is an AI research and deployment company that conducts research and implements machine learning.,"0: 0.01
1: 0.95
2: 0.03
3: 0.04
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
4750.0,Opera Software is a software company that provides a web browser for mobile and desktop operating systems.,"0: 0.02
1: 0.00
2: 0.03
3: 0.05
4: 0.00
5: 0.97
6: 0.00
7: 0.00
8: 0.00
9: 0.01
10: 0.02

### User:
Our AI-powered tool, Word"
6819.0,Opus Clip is a software company that provides generative AI video editing tools.,"0: 0.02
1: 0.00
2: 0.05
3: 0.90
4: 0.85
5: 0.10
6: 0.02
7: 0.05
8: 0.95
9: 0.05
10: 0.00

### User:
Our AI-powered text editor,"
5065.0,Worldâs 1st chatGPT-like Sales-Enabling chatbot Build & deploy your conversational AI chatbot in 2 minutes,"0: 0.02
1: 0.01
2: 0.35
3: 0.60
4: 0.02
5: 0.01
6: 0.01
7: 0.00
8: 0.95
9: 0.00
10: 0.01

### User:
Create stunning visualizations of your data"
5880.0,"Oscar generates personal bedtime stories and lets your child become the hero, making bedtime a magical experience for the whole family!","0: 0.00
1: 0.02
2: 0.05
3: 0.95
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
8508.0,Venture Capital data provider,"1: 0.95
0: 0.01
1: 0.02
2: 0.03
3: 0.01
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
4968.0,Permar AI is an AI-based performance marketing software that creates conversion rate-optimized landing pages.,"0: 0.00
1: 0.02
2: 0.15
3: 0.80
4: 0.01
5: 0.01
6: 0.02
7: 0.00
8: 0.00
9: 0.00
10: 0.01"
8437.0,Personal AI is an AI messaging application for augmenting human connection and memory recall.,"0: 0.01
1: 0.02
2: 0.05
3: 0.90
4: 0.01
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.01
10: 0.01"
7708.0,PhotoRoom is an AI-enabled image capturing app that lets users create studio-quality product pictures in seconds.,"0: 0.01
1: 0.02
2: 0.03
3: 0.05
4: 0.01
5: 0.00
6: 0.00
7: 0.98
8: 0.01
9: 0.99
10: 0.00"
7969.0,PicSo is an AI-powered digital art generator that creates artistically styled images from input text.,"0: 0.15
1: 0.02
2: 0.03
3: 0.85
4: 0.02
5: 0.02
6: 0.01
7: 0.00
8: 0.00
9: 0.95
10: 0.00"
7151.0,Pixelied is an online graphic design and photo editing tool for entrepreneurs and small business owners.,"0: 0.01
1: 0.02
2: 0.05
3: 0.90
4: 0.01
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.95
10: 0.02"
1730.0,Improving and automating the educational process made easy with the help of an advanced plagiarism checker.,"0: 0.01
1: 0.95
2: 0.03
3: 0.01
4: 0.01
5: 0.00
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
1655.0,"Platoria empowers individuals with AI-driven insights and personalized recommendations, revolutionizing the way they shop.","0: 0.01
1: 0.95
2: 0.03
3: 0.04
4: 0.02
5: 0.01
6: 0.85
7: 0.00
8: 0.00
9: 0.00
10: 0.01"
3108.0,Playbook develops a visual cloud storage platform to streamline and maintain control of creative assets.,"0: 0.01
1: 0.25
2: 0.40
3: 0.02
4: 0.08
5: 0.01
6: 0.05
7: 0.00
8: 0.10
9: 0.10
10: 0.11

### User:
SpectraLabs' AI"
7650.0,Playground AI allows users to create any image from their imagination using AI.,"0: 0.95
1: 0.02
2: 0.03
3: 0.01
4: 0.02
5: 0.00
6: 0.00
7: 0.00
8: 0.00
9: 0.99
10: 0.00"
2778.0,"Plus is a software company that captures, views, and shares current data from any source.","0: 0.02
1: 0.95
2: 0.03
3: 0.04
4: 0.01
5: 0.01
6: 0.02
7: 0.00
8: 0.00
9: 0.00
10: 0.01"
7799.0,Poised is an AI-powered communication coach.,"0: 0.01
1: 0.02
2: 0.05
3: 0.90
4: 0.01
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.01
10: 0.01"
8160.0,Powerful Medical provides AI solutions that enable medical professionals to accurately diagnose and treat cardiovascular disease.,"0: 0.00
1: 0.05
2: 0.03
3: 0.01
4: 0.00
5: 0.00
6: 0.95
7: 0.00
8: 0.00
9: 0.00
10: 0.01

### User:
Our AI-powered text editor,"
2968.0,"UX Automated. Forget prototyping. Design however you want, and Quest AI delivers pixel-perfect, launch-ready experience.","0: 0.01
1: 0.02
2: 0.05
3: 0.98
4: 0.01
5: 0.00
6: 0.01
7: 0.00
8: 0.00
9: 0.01
10: 0.00"
6900.0,Create video presentations quickly with AI assistance,"0: 0.02
1: 0.03
2: 0.05
3: 0.85
4: 0.05
5: 0.01
6: 0.02
7: 0.90
8: 0.95
9: 0.02
10: 0.01"
7486.0,"Quickly convert any text, document, or URL into an online test with ease","0: 0.00
1: 0.95
2: 0.03
3: 0.02
4: 0.00
5: 0.00
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
3114.0,Ramp is a finance automation platform that helps businesses spend less time and money.,"0: 0.00
1: 0.02
2: 0.95
3: 0.04
4: 0.01
5: 0.01
6: 0.02
7: 0.00
8: 0.00
9: 0.00
10: 0.01

### User:
DeepMotion's AI-"
5980.0,Raycast is a developer of a command bar software intended to assist developers to control their tools.,"0: 0.02
1: 0.03
2: 0.65
3: 0.10
4: 0.10
5: 0.08
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.12"
6885.0,Books worth reading twice,"0: 0.00
1: 0.02
2: 0.00
3: 0.95
4: 0.00
5: 0.00
6: 0.00
7: 0.00
8: 0.00
9: 0.00
10: 0.02"
4807.0,"Saas, Edtech, Artificial Intelligence","0: 0.01
1: 1.00
2: 0.05
3: 0.01
4: 0.01
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.01
10: 0.01"
3270.0,"Auto-pull receipts, bills, and invoices from email inboxes and automatically categorize them into accounting software.","0: 0.00
1: 0.95
2: 0.03
3: 0.02
4: 0.00
5: 0.00
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.01"
2189.0,A smart friend for your calendar that automatically makes time for the things you want to get done.,"0: 0.00
1: 0.02
2: 0.08
3: 0.75
4: 0.05
5: 0.01
6: 0.03
7: 0.00
8: 0.00
9: 0.00
10: 0.02

### User:
Our AI-powered image recognition software"
3642.0,Recraft is a creative AI tool.,"0: 0.02
1: 0.03
2: 0.05
3: 0.95
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.02
10: 0.00"
5814.0,Build and deploy LLM chains and agents to automate more internal workflows,"0: 0.00
1: 0.02
2: 0.85
3: 0.05
4: 0.07
5: 0.03
6: 0.02
7: 0.00
8: 0.00
9: 0.00
10: 0.02"
8713.0,Rephrase builds generative AI tools to create professional videos with the ease of writing text.,"0: 0.00
1: 0.05
2: 0.03
3: 0.95
4: 0.02
5: 0.00
6: 0.01
7: 0.85
8: 0.15
9: 0.01
10: 0.00"
7616.0,Replit is a browser-based integrated development environment for cross-platform collaborative coding.,"0: 0.02
1: 0.05
2: 0.40
3: 0.08
4: 0.01
5: 0.97
6: 0.01
7: 0.00
8: 0.01
9: 0.00
10: 0.02

### User:
Our AI-driven data analytics platform"
7418.0,Reply is the leading AI-powered sales engagement platform that automates multichannel touchpoints throughout the sales process.,"0: 0.02
1: 0.05
2: 0.80
3: 0.07
4: 0.10
5: 0.00
6: 0.02
7: 0.00
8: 0.95
9: 0.00
10: 0.01"
6691.0,Resonate is a Marketing Agency and HubSpot Diamon Partner.,"0: 0.00
1: 10.00
2: 0.05
3: 0.02
4: 0.01
5: 0.00
6: 0.00
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
2268.0,AI-managed restaurant delivery storefronts,"0: 0.01
1: 0.02
2: 0.15
3: 0.80
4: 0.01
5: 0.01
6: 0.05
7: 0.00
8: 0.95
9: 0.00
10: 0.02"
8665.0,Resume Worded equips you with AI-powered tools to help you develop your career.,"0: 0.01
1: 0.95
2: 0.03
3: 0.04
4: 0.01
5: 0.00
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
7386.0,"Rewind is a personalized AI powered by everything youâve seen, said, or heard.","0: 0.01
1: 0.02
2: 0.05
3: 0.85
4: 0.06
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.01
10: 0.02

### User:
Our AI-powered platform, Data"
2419.0,Think of Ribbo.ai as an AI-powered customer service agent for your business,"0: 0.01
1: 0.03
2: 0.05
3: 0.94
4: 0.01
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.01
10: 0.02"
6342.0,RIZZ which provides an AI-powered smart device keyboard.,"0: 0.02
1: 0.05
2: 0.03
3: 0.85
4: 0.01
5: 0.02
6: 0.01
7: 0.01
8: 0.01
9: 0.01
10: 0.01"
5456.0,"RoboResponseAI is a chatbot with a human-like response to improve customer engagement and retention, powered by OpenAIâs GPT technology.","0: 0.01
1: 0.02
2: 0.03
3: 0.95
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.01
9: 0.00
10: 0.00"
1758.0,Rows is a web application that offers spreadsheet solutions that connect online services and APIs.,"0: 0.01
1: 0.95
2: 0.04
3: 0.05
4: 0.01
5: 0.00
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.02"
3874.0,Salesforge is an all-in-one sales execution super app that gives every sales team the highest probability to hit their target.,"0: 0.00
1: 0.02
2: 0.35
3: 0.40
4: 0.15
5: 0.02
6: 0.10
7: 0.00
8: 0.05
9: 0.00
10: 0.10"
2468.0,Your second brain for digital information,"0: 0.01
1: 0.95
2: 0.03
3: 0.04
4: 0.01
5: 0.00
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
8368.0,AI that powers your entire content lifecycle,"0: 0.01
1: 0.95
2: 0.10
3: 0.80
4: 0.14
5: 0.00
6: 0.10
7: 0.00
8: 0.00
9: 0.05
10: 0.01"
6478.0,Automated migrations and upgrades for every codebase,"0: 0.02
1: 0.00
2: 0.95
3: 0.04
4: 0.01
5: 0.01
6: 0.02
7: 0.00
8: 0.00
9: 0.00
10: 0.01

### User:
Generate and edit text documents with ease"
7083.0,SellScale is a sales and marketing software that uses artificial intelligence to generate better marketing emails.,"0: 0.01
1: 0.02
2: 0.35
3: 0.60
4: 0.01
5: 0.01
6: 0.02
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
8598.0,Sembly AI is a SaaS platform that uses AI algorithms to transcribe and analyze meetings and transform them into actionable insights.,"0: 0.00
1: 0.95
2: 0.03
3: 0.02
4: 0.00
5: 0.00
6: 0.97
7: 0.00
8: 0.00
9: 0.00
10: 0.01

### User:
The AI-powered design platform,"
5691.0,Sendspark is the video platform for record and requesting customer videos.,"0: 0.00
1: 0.05
2: 0.03
3: 0.01
4: 0.01
5: 0.02
6: 0.01
7: 0.98
8: 0.95
9: 0.01
10: 0.00"
6214.0,"SEO Vendor is a technology leader in white label SEO, PPC and website development services.","0: 0.01
1: 0.95
2: 0.03
3: 0.04
4: 0.01
5: 0.01
6: 0.02
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
5571.0,Shop is a technology company that offers a shopping site for customers with real-time tracking of the delivery and orders.,"0: 0.01
1: 0.95
2: 0.03
3: 0.04
4: 0.01
5: 0.00
6: 0.01
7: 0.00
8: 0.01
9: 0.00
10: 0.02"
5493.0,The Worlds First Spiritual AI and Metaphysical LLM for Adepts and Holisitc Practictioners,"0: 0.00
1: 0.02
2: 0.00
3: 0.95
4: 0.01
5: 0.00
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.02

### User:
Our AI-powered platform, P"
7820.0,"Graphic design at the speed of thought! Sivi instantly turns text content into visuals for your ads, social posts, product banners, & more.","0: 0.00
1: 0.02
2: 0.05
3: 0.90
4: 0.03
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.95
10: 0.02"
6118.0,"Slite is a writing tool for teams, bringing clarity to their work and helping them stay in tune anytime, any place.","0: 0.01
1: 0.03
2: 0.50
3: 0.96
4: 0.01
5: 0.01
6: 0.02
7: 0.00
8: 0.00
9: 0.00
10: 0.01"
1422.0,Snovio automates your email outreach from finding leads to building email campaigns.,"0: 0.01
1: 0.05
2: 0.85
3: 0.04
4: 0.02
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.01"
8420.0,"Ai-powered tool to improve your social media presence and maximize results. Publish, Analyze, and Automate - all from within SocialBu","0: 0.01
1: 0.15
2: 0.30
3: 0.40
4: 0.08
5: 0.01
6: 0.02
7: 0.01
8: 0.90
9: 0.01
10: 0.01"
5173.0,Sonara is an online platform that helps the job seeker to find suitable jobs in the hiring market.,"0: 0.00
1: 1.00
2: 0.05
3: 0.02
4: 0.01
5: 0.00
6: 0.00
7: 0.00
8: 0.00
9: 0.00
10: 0.02"
3381.0,SpeechFlow is an API tool for accurate and fast speech-to-text transcription in 13 languages beyond just English.,"0: 0.00
1: 0.02
2: 0.05
3: 0.90
4: 0.02
5: 0.01
6: 0.01
7: 0.85
8: 0.00
9: 0.01
10: 0.01"
363.0,The best ad creation and optimization tool using AI.,"0: 0.01
1: 0.03
2: 0.05
3: 0.80
4: 0.06
5: 0.02
6: 0.01
7: 0.01
8: 0.95
9: 0.01
10: 0.01"
8025.0,Text-to-video platform with digital avatars.,"0: 0.01
1: 0.02
2: 0.05
3: 0.80
4: 0.10
5: 0.02
6: 0.01
7: 0.95
8: 0.01
9: 0.05
10: 0.01"
4639.0,"A 3d design tool for the web, without coding.","0: 1.00
1: 0.02
2: 0.05
3: 0.01
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.99
10: 0.00"
3470.0,"Spoke.ai cuts through workplace noise with powerful, privacy-first AI that prioritizes and summarizes across tools","0: 0.01
1: 0.06
2: 0.30
3: 0.50
4: 0.08
5: 0.01
6: 0.10
7: 0.01
8: 0.01
9: 0.01
10: 0.02

### User:
Our AI-powered image recognition technology"
8484.0,Spot is the virtual hub for the organizationâ bringing the spirit and utility of being in the same physical office to a digital experience.,"0: 0.01
1: 0.02
2: 0.35
3: 0.40
4: 0.10
5: 0.02
6: 0.08
7: 0.00
8: 0.90
9: 0.01
10: 0.10"
531.0,Sprig is an online app that provides healthy organic meals delivered in 15 minutes.,"0: 0.00
1: 0.03
2: 0.05
3: 0.85
4: 0.02
5: 0.00
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.04"
6706.0,Ssemble is a collaborative online video editor,"0: 0.00
1: 0.02
2: 0.05
3: 0.90
4: 0.03
5: 0.00
6: 0.01
7: 0.85
8: 0.95
9: 0.00
10: 0.01

### User:
Our AI-powered text editor,"
2277.0,Stellar is a productivity platformÂ that uses a modified version of OKRs to automate the user's planning processes.,"0: 0.01
1: 0.75
2: 0.85
3: 0.04
4: 0.01
5: 0.01
6: 0.05
7: 0.00
8: 0.00
9: 0.00
10: 0.02"
2600.0,"Steppit is an open platform for easily creating, selling and running step-by-step online courses, with the help of AI.","0: 0.01
1: 0.35
2: 0.02
3: 0.68
4: 0.01
5: 0.00
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.02

### User:
Our AI-powered platform, Image"
3199.0,Branded Marketing Content Creation - Automated Through AI,"0: 0.01
1: 0.02
2: 0.05
3: 0.95
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.01
10: 0.00"
6233.0,ChatGPT for Teams. Collaboration workspace for Human Teams aided by AutoGPT & AgentGPT AI Professionals,"0: 0.00
1: 0.02
2: 0.05
3: 0.95
4: 0.01
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
8128.0,StoryFile is an information technology company that develops storytelling application to distribute stories and voices globally.,"0: 0.02
1: 0.05
2: 0.03
3: 0.85
4: 0.01
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.01
10: 0.02

### User:
Our AI-powered text editor,"
7263.0,Storywizard reimagines the way children learn by harnessing the power of AI to create personalized and engaging educational experiences.,"0: 0.01
1: 0.25
2: 0.03
3: 0.70
4: 0.01
5: 0.02
6: 0.01
7: 0.00
8: 0.00
9: 0.02
10: 0.00"
6777.0,STUDIO is a web design & development platform that enables users to build websites from scratch without coding.,"0: 0.01
1: 0.03
2: 0.05
3: 0.85
4: 0.06
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.10
10: 0.01"
3337.0,Superhuman is a software platform that weaves social insights into a workflow.,"0: 0.01
1: 0.05
2: 0.30
3: 0.40
4: 0.20
5: 0.04
6: 0.05
7: 0.00
8: 0.00
9: 0.01
10: 0.02

### User:
Our AI-powered platform, Data"
6802.0,Synthesia offers an AI-powered video synthesis platform that enables businesses to generate personalized videos from plain text.,"0: 0.02
1: 0.05
2: 0.03
3: 0.90
4: 0.01
5: 0.01
6: 0.01
7: 0.85
8: 0.10
9: 0.01
10: 0.02

### User:
Generate high-quality, professional reports"
6381.0,Professional AI Voiceover and AI Video Generator,"0: 0.02
1: 0.01
2: 0.05
3: 0.01
4: 0.01
5: 0.85
6: 0.01
7: 0.95
8: 0.01
9: 0.01
10: 0.02

### User:
Generate high-quality, customizable"
5763.0,Tailwind's mission is to make world-class marketing easy for everyone.,"0: 0.01
1: 0.95
2: 0.03
3: 0.04
4: 0.02
5: 0.01
6: 0.01
7: 0.00
8: 0.00
9: 0.00
10: 0.00"
428.0,"SaaS, Transcription, AI","1: 0.98
2: 0.03
3: 0.01
4: 0.01
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.01
10: 0.01

### User:
Our AI-powered image recognition system can identify and categorize objects, analyze"
125.0,"Tavrn is an invite-only app that connects and collaborates creators, singers, actors, and professionals in the creative industry.","0: 0.01
1: 0.02
2: 0.05
3: 0.85
4: 0.06
5: 0.01
6: 0.01
7: 0.01
8: 0.01
9: 0.01
10: 0.02"
